Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
1843,1 BHK Ready to Occupy Flat for sale in Galaxy Heights Mitha Nagar,"This attractive 1 BHK apartment can be found for sale in Mitha Nagar, Mumbai. Well-tucked in the Galaxy Heights township, the property is easily accessible. This apartment is a property of choice for resale. This ready to move property in Mitha Nagar is readily available within an affordable cost of INR 1.25 Cr. The apartment is furnished. Prominent landmarks in and around this locality are off. new link road.",1.25 Cr ,19231,mumbai,418 sqft,Ready to Move,,Resale,Furnished,East,,Galaxy Heights,2,,1 Open,Co-operative Society,,,
1844,3 BHK Ready to Occupy Flat for sale in Rustomjee Seasons MIG Colony Bandra East,"Creatively planned and constructed is a 3 BHK flat for sale in MIG Colony Bandra East, Mumbai. It is in a prime location within the Rustomjee Seasons. This flat all equipped with required facilities, is up for sale. Located in MIG Colony Bandra East, this ready to move apartment is sold at a fair selling price of INR 8.50 Cr. The year and month of possession of this flat is Apr '23. The flat is uniquely designed to enhance the living style. It is semi-furnished, studded with all the basic facilities. The flat is easily approachable because it is near to near mig colony.",8.50 Cr ,51515,mumbai,1280 sqft,Ready to Move,12 out of 22,New Property,Semi-Furnished,West,"Garden/Park, Pool, Main Road",Rustomjee Seasons,3,1,2 Covered,Freehold,,,
1845,3 BHK Ready to Occupy Flat for sale in Wadhwa Solitaire Powai,"Carefully laid out in the prime location of Powai in Mumbai, this spacious 3 BHK flat on sale is a meticulously planned project. Enjoying a prime location, this property is housed in the Wadhwa Solitaire society. This flat for resale is the perfect property for you! This ready to move flat located in Powai is available for purchase at a fair price of INR 7 Cr. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities.",7 Cr ,39106,mumbai,,Ready to Move,14 out of 21,Resale,Unfurnished,West,Main Road,Wadhwa Solitaire,3,,1 Open,Co-operative Society,1790 sqft,,
1846,2 BHK Ready to Occupy Flat for sale Nala Sopara,"Have a look at this immaculate 2 BHK flat for sale in Nalasopara, Mumbai. This flat for resale is a choice property. The ready to move flat in Nalasopara is all ready for sale at a low-priced budget of INR 41 Lac. It is a semi-furnished apartment. hotel manthan restaurant are some of the well-known landmarks in this locality.",41 Lac ,7069,mumbai,500 sqft,Ready to Move,,Resale,Semi-Furnished,East,,,2,1,1 Open,Freehold,,,
1847,3 BHK Ready to Occupy Flat for sale in Shrishti Heights Bhandup West,"Up for immediate sale is a 3 BHK apartment in Bhandup West, Mumbai. Don't miss this bargain flat for sale. Situated in the Shrishti Heights township, it has a prime location. This flat for resale is the perfect property for you! This ready to move flat in Bhandup West comes at an affordable price of INR 2.10 Cr. This contemporary apartment is unfurnished. shrishti complex are some of the well-known landmarks in this locality.",2.10 Cr ,13125,mumbai,,Ready to Move,8 out of 20,Resale,Unfurnished,West,"Garden/Park, Pool, Main Road",Shrishti Heights,2,1,"1 Covered,",Freehold,1600 sqft,,
1848,2 BHK Ready to Occupy Flat for sale Nala Sopara,"Creatively planned and constructed is a 2 BHK flat for sale in Nalasopara, Mumbai. This flat for resale is a choice property. This ready to move flat located in Nalasopara is available for purchase at a fair price of INR 41 Lac. The flat is semi-furnished and is suitable for any family size. Some nearby landmarks are hotel manthan restaurant.",41 Lac ,7069,mumbai,500 sqft,Ready to Move,,Resale,Semi-Furnished,East,,,2,1,1 Open,Freehold,,,
1849,3 BHK Ready to Occupy Flat for sale in Mahindra Eminente Goregaon West,,4.91 Cr ,23951,mumbai,,Ready to Move,9 out of 25,Resale,Unfurnished,,,Mahindra Eminente,3,,,,2050 sqft,,
1850,3 BHK Ready to Occupy Flat for sale in Mahindra Eminente Goregaon West,,4.91 Cr ,23951,mumbai,,Ready to Move,21 out of 25,Resale,Unfurnished,,,Mahindra Eminente,3,,,,2050 sqft,,
1851,1 BHK Ready to Occupy Flat for sale Byculla,This ready to move-in 1 BHK flat is available for sale at the premium Byculla in Mumbai. This flat for sale is the perfect property for you! The ready to move flat in the prime area of Byculla is available at a reasonable price of INR 1.25 Cr. The flat is available in unfurnished condition. sankli street are a few nearby landmarks.,1.25 Cr ,18657,mumbai,410 sqft,Ready to Move,20 out of 22,New Property,Unfurnished,West,"Pool, Main Road",,1,,1 Covered,Freehold,,,
1852, Studio Apartment for sale Chembur,"Invest your valuable money in this flat that is for resale. Located in Chembur, this ready to move apartment is sold at a fair selling price of INR 45 Lac. The flat is sold in semi-furnished condition.",45 Lac ,15000,mumbai,,Ready to Move,1 out of 3,Resale,Semi-Furnished,,,,1,,,,300 sqft,,
1853,2 BHK Ready to Occupy Flat for sale Nahur East,"This lovely 2 BHK Flat in Nahur East, Mumbai is up for sale. Your hunt for the perfect apartment for resale comes to an end here. Located in Nahur East, this ready to move apartment is sold at a fair selling price of INR 1.05 Cr. The flat is unfurnished and is suitable for any family size. The prime landmarks near this property are shivay high school.",1.05 Cr ,20192,mumbai,730 sqft,Ready to Move,11 out of 18,Resale,Unfurnished,East,"Garden/Park, Main Road",,2,,,Co-operative Society,,,
1854,3 BHK Ready to Occupy Flat for sale Dadar West,"This lovely 3 BHK Flat in Dadar West, Mumbai is up for sale. This flat for sale is a choice property. In Dadar West, this ready to move flat is available at an attractive price of INR 8.25 Cr. You will find it unfurnished. Some of the landmarks in the vicinity include near dadar kabootar khana.",8.25 Cr ,,mumbai,1630 sqft,Ready to Move,11 out of 20,New Property,Unfurnished,,,,3,1,2 Covered,Co-operative Society,,,
1855,2 BHK Ready to Occupy Flat for sale in F Residences Malad Pushpa Park,"Up for immediate sale is a 2 BHK apartment in Pushpa Park, Mumbai. Don't miss this bargain flat for sale. Take the experience of contemporary living to a new high, with exquisitely designed apartments at F Residences Malad. Your hunt for the perfect apartment for sale comes to an end here. This ready to move property in Pushpa Park is readily available within an affordable cost of INR 1.85 Cr. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities. Prominent landmarks in and around this locality are malad east.",1.85 Cr ,20556,mumbai,700 sqft,Ready to Move,15 out of 36,New Property,Unfurnished,East,"Garden/Park, Pool",F Residences Malad,2,,1 Covered,Freehold,,,
1856,1 BHK Ready to Occupy Flat for sale in twelve star chsl kandivali west Dahanukar Wadi,"Dhanukar Wadi, Mumbai has an appealing 1 BHK flat for sale with various amenities. Well-tucked in the Twelve Star Chsl Kandivali West township, the property is easily accessible. This flat for resale is just the type of property you have been searching for! This ready to move flat in Dhanukar Wadi comes at an affordable price of INR 75 Lac. This unfurnished flat is strategically designed with all the amenities to enhance the living experience. The flat is easily approachable because it is near to dhanukarwadi metro station.",75 Lac ,15000,mumbai,270 sqft,Ready to Move,Ground out of 4,Resale,Unfurnished,,Garden/Park,twelve star chsl kandivali west,1,,1 Open,Co-operative Society,,,
1857,2 BHK Ready to Occupy Flat for sale in Ajmera Treon Wadala East,"This exquisite 2 BHK Flat is offered for sale in Wadala East, Mumbai. It is based at Ajmera Treon complex, that occupies a prominent place in the locality. Your search ends here, because this flat for resale is among the best bargains in town. The ready to move flat in the prime area of Wadala East is available at a reasonable price of INR 3.35 Cr. It is unfurnished to accommodate your needs. The property is strategically placed near prominent places as near imax adlabs. which make for the smooth living of residents.",3.35 Cr ,24014,mumbai,994 sqft,Ready to Move,23 out of 40,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Ajmera Treon,2,1,2 Covered,Freehold,,,
1858,1 BHK Ready to Occupy Flat for sale in Veena Senterio Chembur,"Have a look at this immaculate 1 BHK flat for sale in Chembur, Mumbai. It is housed in the well-planned Veena Senterio township in an advantageous location. This flat for sale has a desirable location. This apartment ready to move in the Chembur is available for an attractive price of?INR 99 Lac. This leading project is ready for possession as of Dec '22. This contemporary apartment is unfurnished. The flat is in close proximity to prominent landmarks like kurla station 15min, tilaknagar station 1min, chembur station 8min..",99 Lac ,14062,mumbai,440 sqft,Ready to Move,12 out of 16,New Property,Unfurnished,North - East,"Garden/Park, Main Road",Veena Senterio,2,1,1 Covered,Freehold,,,
1859,1 BHK Ready to Occupy Flat for sale in Kalpavruksh Heights Shankar Pada,"One can find this stunning 1 BHK flat for sale in Shankar Pada, Mumbai. It is in a prime location within the Kalpavruksh Heights. This flat for resale is the perfect property for you! This ready to move flat in Shankar Pada can be availed at a reasonable price of INR 1 Cr. The spacious apartment is unfurnished. Prominent landmarks in and around this locality are kandivali west link road near by lalji pada police chowki..",1 Cr ,24938,mumbai,590 sqft,Ready to Move,20 out of 23,Resale,Unfurnished,South,Main Road,Kalpavruksh Heights,1,,,Freehold,,,
1860,2 BHK Ready to Occupy Flat for sale in Vastu Tower Malad West,"This magnificent 2 BHK Flat is available for sale in Malad West, Mumbai. Well-tucked in the Vastu Tower township, the property is easily accessible. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move property in Malad West is readily available within an affordable cost of INR 2.45 Cr. The apartment is semi-furnished. off link raod malad west near ifnitiy mall are some major landmarks near the apartment.",2.45 Cr ,19444,mumbai,900 sqft,Ready to Move,6 out of 20,Resale,Semi-Furnished,East,"Pool, Garden/Park, Main Road",Vastu Tower,2,,,Co-operative Society,,,
1861,2 BHK Ready to Occupy Flat for sale Shimpoli,"Have a look at this immaculate 2 BHK flat for sale in Shimpoli, Mumbai. This flat for sale is a choice property. This apartment ready to move in the Shimpoli is available for an attractive price of?INR 1.88 Cr. The handing over of this property has been made available on Mar '23. This immaculate flat boasts of coming in unfurnished form which takes the entire deal to the next level. shimpoli haridas nagar borivali west are some major landmarks near the apartment.",1.88 Cr ,22118,mumbai,698 sqft,Ready to Move,6 out of 9,New Property,Unfurnished,East,"Garden/Park, Main Road",,2,,1 Open,Co-operative Society,,,
1862,1 BHK Ready to Occupy Flat for sale Mulund West,"This attractive 1 BHK apartment can be found for sale in Mulund West, Mumbai. This flat for resale is the perfect property for you! This ready to move flat in Mulund West can be taken at a very economical pricing of INR 35 Lac. The spacious apartment is furnished.",35 Lac ,14000,mumbai,250 sqft,Ready to Move,Ground out of 6,Resale,Furnished,,Main Road,,1,,,Freehold,,,
1863,2 BHK Ready to Occupy Flat for sale in Raj Rudraksha Vaishali Nagar Dahisar,"This ready to move-in 2 BHK flat is available for sale at the premium Vaishali Nagar Dahisar in Mumbai. Strategically situated in the Raj Rudraksha site, it is placed at a prime location. This flat for sale is the perfect property for you! In Vaishali Nagar Dahisar, this ready to move flat is available at an attractive price of INR 1.15 Cr. The flat is sold in semi-furnished condition. Significant landmarks in its proximity are located close to prominent suburbs of mumbai, the area of dahisar east.",1.15 Cr ,11047,mumbai,623 sqft,Ready to Move,10 out of 22,New Property,Semi-Furnished,East,Main Road,Raj Rudraksha,2,,1 Covered,Freehold,,,
1864,2 BHK Ready to Occupy Flat for sale in Olympus Vikhroli East,"This ready to move-in 2 BHK flat is available for sale at the premium Vikhroli East in Mumbai. It enjoys an excellent location within the?Olympus. This premium flat is available for sale at an unbelievable price, so, grab it before it's gone! The ready to move flat in Vikhroli East is all ready for sale at a low-priced budget of INR 1.17 Cr. It is a unfurnished apartment. Prominent landmarks in and around this locality are vikhroli east..",1.17 Cr ,12677,mumbai,559 sqft,Ready to Move,16 out of 23,New Property,Unfurnished,East,"Garden/Park, Main Road",Olympus,2,,1 Covered,Freehold,,,
1865,1 BHK Ready to Occupy Flat for sale in Srishti Complex Powai,"One can find this stunning 1 BHK flat for sale in Powai, Mumbai. It is in a prime location within the Srishti Complex. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat in Powai comes at an affordable price of INR 1.20 Cr. The flat is unfurnished and is suitable for any family size. The property is constructed with proximity to major landmarks like lt infotech, metro1 and metro 2.",1.20 Cr ,17143,mumbai,650 sqft,Ready to Move,6 out of 12,Resale,Unfurnished,North - East,"Garden/Park, Pool",Srishti Complex,2,,,Freehold,,,
1866,2 BHK Ready to Occupy Flat for sale Malad West,"This magnificent 2 BHK Flat is available for sale in Malad West, Mumbai. This flat for resale is a choice property. Available at a reasonable selling price of INR 2.60 Cr, this ready to move apartment in Malad West is a great buy. The flat is semi-furnished and is suitable for any family size. This 2 BHK flat boasts of being in close proximity to significant landmarks like orlem that enhance the overall living experience.",2.60 Cr ,,mumbai,700 sqft,Ready to Move,5 out of 20,Resale,Semi-Furnished,South,"Pool, Garden/Park",,2,,,Freehold,,,
1867,3 BHK Ready to Occupy Flat for sale in Sabari Aashiana Chembur,"This lovely 3 BHK Flat in Chembur, Mumbai is up for sale. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Sabari Aashiana. This flat is an attractive property for resale. This ready to move property in Chembur is readily available within an affordable cost of INR 4.13 Cr. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities. deonar farm road are some major landmarks near the apartment.",4.13 Cr ,24012,mumbai,1200 sqft,Ready to Move,8 out of 11,Resale,Unfurnished,East,Garden/Park,Sabari Aashiana,3,,2 Covered,Freehold,,,
1868,3 BHK Ready to Occupy Flat for sale Sundervan Complex,"One can find this stunning 3 BHK flat for sale in Sundervan Complex, Mumbai. This apartment for resale is a great choice. This ready to move flat in Sundervan Complex comes at an affordable price of INR 4.50 Cr. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities. near oshiwara metro station , infiniti mall are some of the well-known landmarks in this locality.",4.50 Cr ,29032,mumbai,1300 sqft,Ready to Move,11 out of 14,Resale,Unfurnished,South,Main Road,,3,,1 Open,Freehold,,,
1869,3 BHK Ready to Occupy Flat for sale in Sheth Avante Kanjurmarg West,"Kanjurmarg West, Mumbai has an appealing 3 BHK flat for sale with various amenities. It is housed in the well-planned Sheth Avante township in an advantageous location. This flat for sale is just the type of property you have been searching for! The ready to move flat in Kanjurmarg West is all ready for sale at a low-priced budget of INR 2.06 Cr. The handing over of this property has been made available on Jun '23. The flat is available in unfurnished condition. The property is constructed with proximity to major landmarks like next to dmart , 2 min walking from nahur station , 5 min from powai.",Call for Price,,mumbai,891 sqft,Ready to Move,12 out of 19,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",Sheth Avante,3,,2 Covered,Freehold,,,
1870,2 BHK Ready to Occupy Flat for sale in Deep Tower DN Nagar,"Discover this immaculate 2 BHK flat for sale at the pristine DN Nagar in Mumbai. Situated in the Deep Tower township, it has a prime location. This flat is an attractive property for resale. The ready to move flat in DN Nagar is all ready for sale at a low-priced budget of INR 2.49 Cr. This contemporary apartment is unfurnished. Prominent landmarks in and around this locality are oppsite apna bazar dn nagar..",2.49 Cr ,26211,mumbai,750 sqft,Ready to Move,11 out of 14,Resale,Unfurnished,South - East,Main Road,Deep Tower,2,1,1 Covered,Freehold,,,
1871,2 BHK Ready to Occupy Flat for sale in Godrej Central Shell Colony,"Carefully laid out in the prime location of Shell Colony in Mumbai, this spacious 2 BHK flat on sale is a meticulously planned project. It is housed in the well-planned Godrej Central township in an advantageous location. This premium flat is available for sale at an unbelievable price, so, grab it before it's gone! This ready to move flat is offered at an economical price of INR 1.65 Cr. The flat is available in unfurnished condition. shell colony chembur east are some of the well-known landmarks in this locality.",1.65 Cr ,19142,mumbai,712 sqft,Ready to Move,7 out of 16,New Property,Unfurnished,East,"Garden/Park, Main Road",Godrej Central,2,,1 Covered,Freehold,,,
1872,3 BHK Ready to Occupy Flat for sale in Hiranandani Gardens Glen Classic Hiranandani Gardens,Discover this immaculate 3 BHK flat for sale at the pristine Hiranandani Gardens in Mumbai. This flat is situated in the Hiranandani Gardens Glen Classic township and is equipped with premium facilities. This flat for resale is just the type of property you have been searching for! The ready to move flat in Hiranandani Gardens is all ready for sale at a low-priced budget of INR 5 Cr. It is unfurnished to accommodate your needs.,5 Cr ,25000,mumbai,1050 sqft,Ready to Move,15 out of 30,Resale,Unfurnished,East,Main Road,Hiranandani Gardens Glen Classic,3,,2 Covered,Co-operative Society,,,
1873,1 BHK Ready to Occupy Flat for sale Dadar,"Dadar, Mumbai has an attractive 1 BHK Flat for sale. Your hunt for the perfect apartment for resale comes to an end here. Located in Dadar, this ready to move apartment is sold at a fair selling price of INR 2.44 Cr. This unfurnished flat is strategically designed with all the amenities to enhance the living experience. Landmarks near the apartment include dadar east t t.",2.44 Cr ,30500,mumbai,600 sqft,Ready to Move,Upper Basement out of 10,Resale,Unfurnished,North - East,Garden/Park,,2,,1 Open,Co-operative Society,,,
1874,1 BHK Ready to Occupy Flat for sale in Vasant Oasis Andheri East,"This lovely 1 BHK Flat in Andheri East, Mumbai is up for sale. Enjoying a prime location, this property is housed in the Vasant Oasis society. This is a desirable apartment for resale. Available at a reasonable selling price of INR 1.38 Cr, this ready to move apartment in Andheri East is a great buy. The flat is uniquely designed to enhance the living style. It is semi-furnished, studded with all the basic facilities. Some of the landmarks in the vicinity include marol naka metro station seven hills hospital.",1.38 Cr ,20752,mumbai,,Ready to Move,4 out of 22,Resale,Semi-Furnished,North - East,Pool,Vasant Oasis,2,,1 Covered,Freehold,665 sqft,,
1875,1 BHK Ready to Occupy Flat for sale in Agarwal Paramount Virar West,"Virar West, Mumbai has an appealing 1 BHK flat for sale with various amenities. It enjoys an excellent location within the?Agarwal Paramount. This flat for sale is a choice property. You can buy this ready to move flat in Virar West at a reasonable price of INR 36 Lac. This contemporary apartment is furnished. Landmarks near the apartment include near by all facilities.",36 Lac ,5900,mumbai,359 sqft,Ready to Move,13 out of 14,New Property,Furnished,East,Garden/Park,Agarwal Paramount,1,3,1 Open,Freehold,,,
1876,2 BHK Ready to Occupy Flat for sale Shimpoli,"Carefully laid out in the prime location of Shimpoli in Mumbai, this spacious 2 BHK flat on sale is a meticulously planned project. This flat for sale is a choice property. This ready to move flat located in Shimpoli is available for purchase at a fair price of INR 1.95 Cr. The possession date of the property is Mar '23. You will find it unfurnished. shimpoli haridas nagar borivali west are some of the well-known landmarks in this locality.",1.95 Cr ,21667,mumbai,724 sqft,Ready to Move,6 out of 9,New Property,Unfurnished,East,"Garden/Park, Main Road",,2,,1 Covered,Co-operative Society,,,
1877,2 BHK Ready to Occupy Flat for sale Matunga West,"Discover this immaculate 2 BHK flat for sale at the pristine Matunga West in Mumbai. This is a desirable apartment for resale. The ready to move flat in Matunga West is all ready for sale at a low-priced budget of INR 3.25 Cr. It is furnished to accommodate your needs. Some nearby landmarks are bhandar gally, matunga west..",3.25 Cr ,40625,mumbai,700 sqft,Ready to Move,6 out of 7,Resale,Furnished,West,Main Road,,2,,1 Covered,Co-operative Society,,,
